alpha,MSE,MAE,Time
276,0.835979,0.913253,5243196
277,0.857980,0.924474,96898457
278,0.820740,0.903784,71657546
279,0.885534,0.939275,106722599
280,0.809551,0.897837,87867633
281,0.846790,0.918555,39973748
282,0.862914,0.927642,65054095
283,0.831962,0.910119,46993137
284,0.897240,0.945534,85761442
285,0.862498,0.927383,12028595
286,0.813264,0.899093,70058727
287,0.856992,0.923920,99248370
288,0.831962,0.910119,129418834
289,0.846887,0.918607,49025664
290,0.832530,0.910638,147536124
291,0.834174,0.911634,36882396
292,0.832562,0.910682,29171769
293,0.815336,0.901470,19115303
294,0.846484,0.918375,15132062
295,0.806915,0.895890,87538558
296,0.834570,0.911855,9047011
297,0.846794,0.918560,12356744
298,0.820135,0.904321,21292050
299,0.822346,0.904919,115083616
300,0.820740,0.903784,148074075
301,0.834570,0.911855,38380712
302,0.838330,0.913923,115090631
303,0.846786,0.918549,21618056
304,0.811595,0.899494,84434124
305,0.846887,0.918607,119827193
306,0.834161,0.911608,61584149
307,0.892291,0.943008,89677321
308,0.820333,0.904431,67086546
309,0.856939,0.922520,133241696
310,0.820333,0.904431,46760817
311,0.834570,0.911855,5315075
312,0.935335,0.965884,23576340
313,0.795583,0.890482,111814912
314,0.814493,0.900818,52308213
315,0.917900,0.956670,109337782
316,0.921561,0.958588,123843507
317,0.881313,0.937296,122366940
318,0.831625,0.909782,58947048
319,0.857980,0.924474,103623237
320,0.834570,0.911855,21753500
321,0.819920,0.904180,56844069
322,0.834570,0.911855,140505634
323,0.813264,0.899093,50925270
324,0.862504,0.927397,75959372
325,0.846575,0.918413,5998592
326,0.834268,0.911680,138463828
327,0.857980,0.924474,85006384
328,0.909415,0.952135,18355336
329,0.834570,0.911855,10116775
330,0.888795,0.940472,50450897
331,0.919387,0.957370,16790308
332,0.834359,0.911719,48497487
333,0.812841,0.898812,15902425
334,0.819158,0.902768,38408364
335,0.846474,0.918355,132931612
336,0.881932,0.937756,135729618
337,0.796164,0.890428,99992514
338,0.832801,0.910677,72969829
339,0.846887,0.918607,53177060
340,0.837212,0.913264,83595106
341,0.836383,0.913484,119730646
342,0.820333,0.904431,58492136
343,0.822346,0.904919,107171447
344,0.804960,0.895080,81906454
345,0.871575,0.932192,110800349
346,0.836383,0.913484,66870125
347,0.862411,0.927351,56110857
348,0.857980,0.924474,83528185
349,0.882428,0.938035,125817174
350,0.834166,0.911623,10094991
351,0.857980,0.924474,105281685
352,0.820128,0.904309,33022139
