alpha,MSE,MAE,Time
531,0.200808,0.439103,1198108
532,0.206592,0.447156,1119648
533,0.242870,0.484094,603762
534,0.205761,0.444410,2325903
535,0.300316,0.544505,1626679
536,0.234506,0.477443,515325
537,0.200317,0.436202,563677
538,0.202666,0.440066,2263614
539,0.212593,0.454028,2254365
540,0.207355,0.445658,1978949
541,0.268522,0.514084,618816
542,0.337339,0.572258,1170388
543,0.339622,0.580378,1851502
544,0.393101,0.624882,124623
545,0.209077,0.448759,428791
546,0.337339,0.572258,116992
547,0.217157,0.457884,2024740
548,0.215867,0.455128,1499008
549,0.300799,0.544930,902455
550,0.222579,0.464128,1510402
551,0.251687,0.495814,724169
552,0.263621,0.506490,678435
553,0.322748,0.565572,2179347
554,0.297989,0.542482,761786
555,0.224164,0.465114,2138107
556,0.316509,0.557860,1746544
557,0.281714,0.526297,2292162
558,0.256602,0.498910,609652
559,0.269071,0.514703,261985
560,0.337971,0.579242,1671876
561,0.206727,0.445370,1820509
562,0.253514,0.495747,1460094
563,0.233198,0.476278,395397
564,0.316029,0.558590,28143
565,0.245106,0.488990,1389870
566,0.205821,0.442633,2022077
567,0.238031,0.481424,543469
568,0.626462,0.789748,1953547
569,0.263575,0.506748,1889563
570,0.224364,0.466771,401707
571,0.281633,0.525359,1536368
572,0.257825,0.500437,112252
573,0.279351,0.522982,1572095
574,0.271421,0.514819,991743
575,0.237568,0.476917,236875
576,0.244768,0.488439,2000887
577,0.266073,0.508871,1108736
578,0.197417,0.433925,2261615
579,0.220842,0.461693,1103767
580,0.200783,0.438123,2011191
581,0.275965,0.521798,1375889
582,0.261480,0.503950,1827937
583,0.206258,0.444294,293499
584,0.213559,0.454619,1159108
585,0.337339,0.572258,193595
586,0.315029,0.557362,35479
587,0.208097,0.446901,509524
588,0.235162,0.478826,89630
589,0.298585,0.541796,645131
590,0.297804,0.540108,771510
591,0.231651,0.475062,1761507
592,0.201950,0.439943,69513
593,0.211519,0.450683,2231604
594,0.307431,0.550262,2156904
595,0.249537,0.491705,97656
596,0.225999,0.467836,1225347
597,0.333032,0.574170,1782853
598,0.284339,0.527799,641125
599,0.227503,0.469717,782766
600,0.200411,0.438457,1276289
601,0.371339,0.607662,1042832
602,0.262570,0.505351,2319135
603,0.277481,0.520793,1388541
604,0.313570,0.556021,218800
605,0.218979,0.459396,914750
606,0.360479,0.592902,1625416
607,0.206363,0.444665,2219687
608,0.330429,0.571166,2023487
609,0.290975,0.535072,1490904
610,0.287489,0.532901,927327
611,0.324661,0.565983,1638550
612,0.216710,0.457255,470666
613,0.286509,0.531823,359136
614,0.289141,0.534047,1932050
615,0.364093,0.598544,1629774
616,0.245066,0.486996,552732
617,0.350863,0.589175,1967529
618,0.303387,0.548200,2139299
619,0.241320,0.481432,642362
620,0.249870,0.492565,216533
621,0.233283,0.476238,514682
622,0.229147,0.471519,7742
623,0.306583,0.549801,286046
624,0.238900,0.480190,350159
625,0.332843,0.572420,2164646
626,0.252917,0.497318,383703
627,0.265404,0.511229,1575506
628,0.279377,0.522444,1551372
629,0.291004,0.535056,1024828
630,0.240195,0.482513,2358273
631,0.234763,0.476047,431533
632,0.247179,0.492256,2067661
633,0.244549,0.486913,2281280
634,0.242426,0.483815,1820075
635,0.238089,0.478818,2286462
636,0.196757,0.432507,799903
637,0.256753,0.501949,1049364
638,0.260697,0.504952,2110021
639,0.337339,0.572258,427262
640,0.205307,0.443459,144140
641,0.235890,0.475859,641221
642,0.342635,0.580160,2065813
643,0.268661,0.513117,614806
644,0.246895,0.488145,1000358
645,0.213350,0.453214,1601736
646,0.322198,0.564891,2244581
647,0.216627,0.457290,1553090
648,0.240844,0.482093,1173137
649,0.318133,0.560826,1987752
650,0.224164,0.465114,2195453
651,0.337339,0.572258,1389671
652,0.355294,0.593730,106306
653,0.224164,0.465114,2203195
654,0.240940,0.482383,1675718
655,0.350832,0.589978,456465
656,0.332758,0.574882,1971713
657,0.224164,0.465114,2059421
658,0.342180,0.579480,2031972
659,0.222527,0.464966,1126958
660,0.250487,0.495273,688122
661,0.250019,0.493793,1994117
662,0.248651,0.490839,1558492
663,0.231454,0.474626,359656
664,0.257127,0.499858,1879270
665,0.237536,0.478486,982439
666,0.307118,0.551301,249990
667,0.245800,0.487621,283045
668,0.305832,0.549888,2031803
669,0.261977,0.503631,2360012
670,0.275402,0.518528,710308
671,0.262838,0.508614,2175944
672,0.202809,0.442006,605105
673,0.337339,0.572258,379994
674,0.249044,0.492539,394623
675,0.302151,0.545337,1605463
676,0.301515,0.544550,1981731
677,0.239868,0.480655,243076
678,0.348471,0.587429,762425
679,0.213248,0.454709,758741
680,0.306743,0.549765,2230829
681,0.320502,0.563478,561751
682,0.268456,0.514074,2148412
683,0.224197,0.465206,2337136
684,0.256295,0.498867,368818
685,0.244243,0.489294,1428002
686,0.229986,0.471141,397473
687,0.242300,0.486219,2340532
688,0.300799,0.544930,1091296
689,0.269578,0.511569,33317
690,0.263922,0.509953,1071363
691,0.193912,0.429343,1779418
692,0.342180,0.579480,2027435
693,0.283842,0.527894,233727
694,0.260027,0.505939,2139074
695,0.233887,0.472747,1510577
696,0.207593,0.446071,1216166
697,0.251307,0.493238,2389065
698,0.326478,0.567638,1793623
699,0.300212,0.544218,851842
700,0.213467,0.453770,2352949
701,0.196633,0.433418,107804
702,0.279057,0.525158,631658
703,0.342280,0.581725,561926
704,0.327612,0.569333,487799
705,0.347036,0.585990,1026282
706,0.295414,0.539875,2167390
707,0.237764,0.478450,73402
708,0.316704,0.559663,1269358
709,0.261565,0.506491,533688
710,0.277293,0.521171,832143
711,0.258004,0.501324,1104059
712,0.290370,0.534496,1095439
713,0.232162,0.471969,584427
714,0.315308,0.557402,1045067
715,0.209933,0.449362,1464257
716,0.280050,0.522373,2012430
717,0.212479,0.452482,1442541
718,0.284147,0.529087,1408662
719,0.227723,0.469954,707599
720,0.250909,0.492743,1475859
721,0.283160,0.527702,83897
722,0.201610,0.440682,90889
723,0.285435,0.531774,1107166
724,0.228095,0.471447,317624
725,0.301515,0.544550,2229964
726,0.323909,0.566389,221616
727,0.267040,0.512600,1533791
728,0.232282,0.476023,2222901
729,0.229357,0.471749,2015239
730,0.326019,0.566744,2385634
731,0.262097,0.504994,2179722
732,0.567652,0.751584,2123043
